number,effect_name,batch_guess,family_guess,output_path,flat_browse_path,file_size_mb,marked_status,rating,notes
201,parallax_torn_glass_scan,M_201_225,scan_waterfall,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/201__parallax_torn_glass_scan.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_201__parallax_torn_glass_scan.mp4,29.77,,,
201,torn_z_depth_panels_v02,M_201_225,depth_cards_panels,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/201__torn_z_depth_panels_v02.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_201__torn_z_depth_panels_v02.mp4,2.44,,,
202,animated_displacement_glass_v02,M_201_225,fog_bloom_glass,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/202__animated_displacement_glass_v02.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_202__animated_displacement_glass_v02.mp4,1.69,,,
202,cellular_copper_drift,M_201_225,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/202__cellular_copper_drift.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_202__cellular_copper_drift.mp4,332.57,,,
203,sliced_temporal_shutter_v02,M_201_225,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/203__sliced_temporal_shutter_v02.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_203__sliced_temporal_shutter_v02.mp4,2.33,,,
203,stuttered_depth_shutters,M_201_225,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/203__stuttered_depth_shutters.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_203__stuttered_depth_shutters.mp4,260.87,,,
204,blueprint_fracture_ghost,M_201_225,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/204__blueprint_fracture_ghost.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_204__blueprint_fracture_ghost.mp4,26.96,,,
204,fake_datamosh_smear_v02,M_201_225,cloth_smear,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/204__fake_datamosh_smear_v02.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_204__fake_datamosh_smear_v02.mp4,1.01,,,
205,burned_acetate_pulse,M_201_225,erosion_excavation,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/205__burned_acetate_pulse.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_205__burned_acetate_pulse.mp4,363.94,,,
205,split_screen_offset_sculpture_v02,M_201_225,uncategorized,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/________My Blender Library/video_conversion_lab/outputs/205__split_screen_offset_sculpture_v02.mp4,/Volumes/noixzy T5 EVO SSD/ASSET LIBRARY/______newDemo Renders/VCL_205__split_screen_offset_sculpture_v02.mp4,2.99,,,
